parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75145000,"Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",11282,"Onions, raw",160
75145000,"Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",11313,"Peas, green, frozen, cooked, boiled, drained, without salt",284
75145000,"Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",11333,"Peppers, sweet, green, raw",74.4
75145000,"Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",19335,"Sugars, granulated",25
75146000,"Greek Salad, no dressing",1019,"Cheese, feta",75
75146000,"Greek Salad, no dressing",9194,"Olives, ripe, canned (jumbo-super colossal)",121.6
75146000,"Greek Salad, no dressing",11143,"Celery, raw",90
75146000,"Greek Salad, no dressing",11205,"Cucumber, with peel, raw",100.5
75146000,"Greek Salad, no dressing",11251,"Lettuce, cos or romaine, raw",752
75146000,"Greek Salad, no dressing",11282,"Onions, raw",54
75146000,"Greek Salad, no dressing",11291,"Onions, spring or scallions (includes tops and bulb), raw",60
75146000,"Greek Salad, no dressing",11429,"Radishes, raw",36
75146000,"Greek Salad, no dressing",11529,"Tomatoes, red, ripe, raw, year round average",136
75146000,"Greek Salad, no dressing",15002,"Fish, anchovy, european, canned in oil, drained solids",45
75147000,"Spinach salad, no dressing",1129,"Egg, whole, cooked, hard-boiled",100
75147000,"Spinach salad, no dressing",10862,"Pork, cured, bacon, pre-sliced, cooked, pan-fried",32
75147000,"Spinach salad, no dressing",11457,"Spinach, raw",340
75148010,"Cobb salad, no dressing",1129,"Egg, whole, cooked, hard-boiled",150
75148010,"Cobb salad, no dressing",5000,"Chicken, broiler, rotisserie, BBQ, breast, meat only",540
75148010,"Cobb salad, no dressing",9037,"Avocados, raw, all commercial varieties",168
75148010,"Cobb salad, no dressing",10862,"Pork, cured, bacon, pre-sliced, cooked, pan-fried",40
75148010,"Cobb salad, no dressing",11250,"Lettuce, butterhead (includes boston and bibb types), raw",163
75148010,"Cobb salad, no dressing",11529,"Tomatoes, red, ripe, raw, year round average",540
75148010,"Cobb salad, no dressing",11591,"Watercress, raw",136
75200100,"Vegetables, NS as to type, cooked, NS as to fat added in cooking",2047,"Salt, table",1
75200100,"Vegetables, NS as to type, cooked, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75200100,"Vegetables, NS as to type, cooked, NS as to fat added in cooking",11584,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",182
75200110,"Vegetables, NS as to type, cooked, fat not added in cooking",2047,"Salt, table",1
75200110,"Vegetables, NS as to type, cooked, fat not added in cooking",11584,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",182
75200120,"Vegetables, NS as to type, cooked, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75200120,"Vegetables, NS as to type, cooked, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75200120,"Vegetables, NS as to type, cooked, fat added in cooking, NS as to type of fat",11584,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",182
75200121,"Vegetables, NS as to type, cooked, made with oil",2047,"Salt, table",1
75200121,"Vegetables, NS as to type, cooked, made with oil",4322,"Vegetable oil, averaged",4.542
75200121,"Vegetables, NS as to type, cooked, made with oil",11584,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",182
75200122,"Vegetables, NS as to type, cooked, made with butter",1001,"Butter, salted",4.729
75200122,"Vegetables, NS as to type, cooked, made with butter",2047,"Salt, table",1
75200122,"Vegetables, NS as to type, cooked, made with butter",11584,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",182
75200123,"Vegetables, NS as to type, cooked, made with margarine",2047,"Salt, table",1
75200123,"Vegetables, NS as to type, cooked, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75200123,"Vegetables, NS as to type, cooked, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75200123,"Vegetables, NS as to type, cooked, made with margarine",11584,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",182
75200700,Aloe vera juice drink,14216,"Beverages, aloe vera juice drink, fortified with Vitamin C",100
75201000,"Artichoke, cooked, NS as to form, NS as to fat added in cooking",2047,"Salt, table",1
75201000,"Artichoke, cooked, NS as to form, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75201000,"Artichoke, cooked, NS as to form, NS as to fat added in cooking",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201001,"Artichoke, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75201001,"Artichoke, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75201001,"Artichoke, cooked, from fresh, NS as to fat added in cooking",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",168
75201002,"Artichoke, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75201002,"Artichoke, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75201002,"Artichoke, cooked, from frozen, NS as to fat added in cooking",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201003,"Artichoke, cooked, from canned, NS as to fat added in cooking",2047,"Salt, table",1
75201003,"Artichoke, cooked, from canned, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75201003,"Artichoke, cooked, from canned, NS as to fat added in cooking",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201010,"Artichoke, cooked, NS as to form, fat not added in cooking",2047,"Salt, table",1
75201010,"Artichoke, cooked, NS as to form, fat not added in cooking",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201011,"Artichoke, fresh, cooked, no added fat",2047,"Salt, table, iodized",0.3
75201011,"Artichoke, fresh, cooked, no added fat",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201012,"Artichoke, frozen, cooked, no added fat",2047,"Salt, table, iodized",0.3
75201012,"Artichoke, frozen, cooked, no added fat",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201013,"Artichoke, canned, cooked, no added fat",2047,"Salt, table, iodized",0.3
75201013,"Artichoke, canned, cooked, no added fat",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201020,"Artichokes, NS as to form, cooked",2047,"Salt, table, iodized",0.3
75201020,"Artichokes, NS as to form, cooked",4321,"Oil, table fat, averaged",3
75201020,"Artichokes, NS as to form, cooked",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201021,"Artichoke, fresh, cooked, fat added",2047,"Salt, table, iodized",0.3
75201021,"Artichoke, fresh, cooked, fat added",4321,"Oil, table fat, averaged",3
75201021,"Artichoke, fresh, cooked, fat added",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201022,"Artichoke, frozen, cooked, fat added",2047,"Salt, table, iodized",0.3
75201022,"Artichoke, frozen, cooked, fat added",4321,"Oil, table fat, averaged",3
75201022,"Artichoke, frozen, cooked, fat added",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201023,"Artichoke, canned, cooked, fat added",2047,"Salt, table, iodized",0.3
75201023,"Artichoke, canned, cooked, fat added",4321,"Oil, table fat, averaged",3
75201023,"Artichoke, canned, cooked, fat added",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201030,Artichoke salad in oil,4053,"Oil, olive, salad or cooking",9
75201030,Artichoke salad in oil,11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",100
75201031,"Artichoke, cooked, NS as to form, made with oil",2047,"Salt, table",1
75201031,"Artichoke, cooked, NS as to form, made with oil",4322,"Vegetable oil, averaged",4.542
75201031,"Artichoke, cooked, NS as to form, made with oil",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201032,"Artichoke, cooked, NS as to form, made with butter",1001,"Butter, salted",4.729
75201032,"Artichoke, cooked, NS as to form, made with butter",2047,"Salt, table",1
75201032,"Artichoke, cooked, NS as to form, made with butter",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",168
75201033,"Artichoke, cooked, NS as to form, made with margarine",2047,"Salt, table",1
75201033,"Artichoke, cooked, NS as to form, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75201033,"Artichoke, cooked, NS as to form, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75201033,"Artichoke, cooked, NS as to form, made with margarine",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201034,"Artichoke, cooked, from fresh, made with oil",2047,"Salt, table",1
75201034,"Artichoke, cooked, from fresh, made with oil",4322,"Vegetable oil, averaged",4.542
75201034,"Artichoke, cooked, from fresh, made with oil",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",168
75201035,"Artichoke, cooked, from fresh, made with butter",1001,"Butter, salted",4.729
75201035,"Artichoke, cooked, from fresh, made with butter",2047,"Salt, table",1
75201035,"Artichoke, cooked, from fresh, made with butter",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",168
75201036,"Artichoke, cooked, from fresh, made with margarine",2047,"Salt, table",1
75201036,"Artichoke, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75201036,"Artichoke, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75201036,"Artichoke, cooked, from fresh, made with margarine",11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",168
75201037,"Artichoke, cooked, from canned, made with oil",2047,"Salt, table",1
75201037,"Artichoke, cooked, from canned, made with oil",4322,"Vegetable oil, averaged",4.542
75201037,"Artichoke, cooked, from canned, made with oil",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201038,"Artichoke, cooked, from canned, made with butter",1001,"Butter, salted",4.729
75201038,"Artichoke, cooked, from canned, made with butter",2047,"Salt, table",1
75201038,"Artichoke, cooked, from canned, made with butter",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201039,"Artichoke, cooked, from canned, made with margarine",2047,"Salt, table",1
75201039,"Artichoke, cooked, from canned, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75201039,"Artichoke, cooked, from canned, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75201039,"Artichoke, cooked, from canned, made with margarine",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201040,"Artichoke, cooked, from frozen, made with oil",2047,"Salt, table",1
75201040,"Artichoke, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
75201040,"Artichoke, cooked, from frozen, made with oil",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201041,"Artichoke, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
75201041,"Artichoke, cooked, from frozen, made with butter",2047,"Salt, table",1
75201041,"Artichoke, cooked, from frozen, made with butter",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75201042,"Artichoke, cooked, from frozen, made with margarine",2047,"Salt, table",1
75201042,"Artichoke, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75201042,"Artichoke, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75201042,"Artichoke, cooked, from frozen, made with margarine",11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168
75202000,"Asparagus, cooked, NS as to form, NS as to fat added in cooking",2047,"Salt, table",1
75202000,"Asparagus, cooked, NS as to form, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75202000,"Asparagus, cooked, NS as to form, NS as to fat added in cooking",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",180
75202001,"Asparagus, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75202001,"Asparagus, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75202001,"Asparagus, cooked, from fresh, NS as to fat added in cooking",11012,"Asparagus, cooked, boiled, drained",180
75202002,"Asparagus, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75202002,"Asparagus, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75202002,"Asparagus, cooked, from frozen, NS as to fat added in cooking",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",120
75202003,"Asparagus, cooked, from canned, NS as to fat added in cooking",2047,"Salt, table",1
75202003,"Asparagus, cooked, from canned, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75202003,"Asparagus, cooked, from canned, NS as to fat added in cooking",11015,"Asparagus, canned, drained solids",242
75202010,"Asparagus, cooked, NS as to form, fat not added in cooking",2047,"Salt, table",1
75202010,"Asparagus, cooked, NS as to form, fat not added in cooking",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",180
75202011,"Asparagus, fresh, cooked, no added fat",2047,"Salt, table, iodized",0.3
75202011,"Asparagus, fresh, cooked, no added fat",11011,"Asparagus, raw",100
75202012,"Asparagus, frozen, cooked, no added fat",2047,"Salt, table, iodized",0.3
75202012,"Asparagus, frozen, cooked, no added fat",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",100
75202013,"Asparagus, canned, cooked, no added fat",11015,"Asparagus, canned, drained solids",100
75202020,"Asparagus, NS as to form, cooked",2047,"Salt, table, iodized",0.290416263
75202020,"Asparagus, NS as to form, cooked",4321,"Oil, table fat, averaged",2.904162633
75202020,"Asparagus, NS as to form, cooked",11011,"Asparagus, raw",96.8054211
75202021,"Asparagus, fresh, cooked, fat added, NS as to fat type",2047,"Salt, table, iodized",0.3
75202021,"Asparagus, fresh, cooked, fat added, NS as to fat type",4321,"Oil, table fat, averaged",3
75202021,"Asparagus, fresh, cooked, fat added, NS as to fat type",11011,"Asparagus, raw",100
75202022,"Asparagus, frozen, cooked, fat added, NS as to fat type",2047,"Salt, table, iodized",0.3
75202022,"Asparagus, frozen, cooked, fat added, NS as to fat type",4321,"Oil, table fat, averaged",3
75202022,"Asparagus, frozen, cooked, fat added, NS as to fat type",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",100
75202023,"Asparagus, canned, cooked, fat added, NS as to fat type",4321,"Oil, table fat, averaged",3
75202023,"Asparagus, canned, cooked, fat added, NS as to fat type",11015,"Asparagus, canned, drained solids",100
75202024,"Asparagus, cooked, NS as to form, made with oil",2047,"Salt, table",1
75202024,"Asparagus, cooked, NS as to form, made with oil",4322,"Vegetable oil, averaged",4.542
75202024,"Asparagus, cooked, NS as to form, made with oil",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",180
75202025,"Asparagus, cooked, NS as to form, made with butter",1001,"Butter, salted",4.729
75202025,"Asparagus, cooked, NS as to form, made with butter",2047,"Salt, table",1
75202025,"Asparagus, cooked, NS as to form, made with butter",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",180
75202026,"Asparagus, cooked, NS as to form, made with margarine",2047,"Salt, table",1
75202026,"Asparagus, cooked, NS as to form, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75202026,"Asparagus, cooked, NS as to form, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75202026,"Asparagus, cooked, NS as to form, made with margarine",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",180
75202027,"Asparagus, fresh, cooked with oil",2047,"Salt, table, iodized",0.3
75202027,"Asparagus, fresh, cooked with oil",4322,"Vegetable oil, averaged",3
75202027,"Asparagus, fresh, cooked with oil",11011,"Asparagus, raw",100
75202028,"Asparagus, fresh, cooked with butter or margarine",2047,"Salt, table, iodized",0.3
75202028,"Asparagus, fresh, cooked with butter or margarine",4323,"Table fat, averaged",3
75202028,"Asparagus, fresh, cooked with butter or margarine",11011,"Asparagus, raw",100
75202029,"Asparagus, cooked, from fresh, made with margarine",2047,"Salt, table",1
75202029,"Asparagus, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75202029,"Asparagus, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75202029,"Asparagus, cooked, from fresh, made with margarine",11012,"Asparagus, cooked, boiled, drained",180
75202031,"Asparagus, frozen, cooked with oil",2047,"Salt, table, iodized",0.3
75202031,"Asparagus, frozen, cooked with oil",4322,"Vegetable oil, averaged",3
75202031,"Asparagus, frozen, cooked with oil",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",100
75202032,"Asparagus, frozen, cooked with butter or margarine",2047,"Salt, table, iodized",0.3
75202032,"Asparagus, frozen, cooked with butter or margarine",4323,"Table fat, averaged",3
75202032,"Asparagus, frozen, cooked with butter or margarine",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",100
75202033,"Asparagus, cooked, from frozen, made with margarine",2047,"Salt, table",1
75202033,"Asparagus, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75202033,"Asparagus, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75202033,"Asparagus, cooked, from frozen, made with margarine",11019,"Asparagus, frozen, cooked, boiled, drained, without salt",180
75202034,"Asparagus, canned, cooked with oil",4322,"Vegetable oil, averaged",3
75202034,"Asparagus, canned, cooked with oil",11015,"Asparagus, canned, drained solids",100
75202035,"Asparagus, canned, cooked with butter or margarine",4323,"Table fat, averaged",3
75202035,"Asparagus, canned, cooked with butter or margarine",11015,"Asparagus, canned, drained solids",100
75202036,"Asparagus, cooked, from canned, made with margarine",2047,"Salt, table",1
75202036,"Asparagus, cooked, from canned, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75202036,"Asparagus, cooked, from canned, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75202036,"Asparagus, cooked, from canned, made with margarine",11015,"Asparagus, canned, drained solids",242
75203000,"Bamboo shoots, cooked, fat not added in cooking",2047,"Salt, table",0.6
75203000,"Bamboo shoots, cooked, fat not added in cooking",11026,"Bamboo shoots, raw",100
75203020,"Bamboo shoots, cooked, fat added in cooking",2047,"Salt, table",0.6
75203020,"Bamboo shoots, cooked, fat added in cooking",4322,"Vegetable oil, averaged",3.2
75203020,"Bamboo shoots, cooked, fat added in cooking",11026,"Bamboo shoots, raw",100
75203028,"Bamboo shoots, cooked",4321,"Oil, table fat, averaged",3
75203028,"Bamboo shoots, cooked",11028,"Bamboo shoots, canned, drained solids",100
75204000,"Beans, lima, immature, cooked, NS as to form, NS as to fat added in cooking",2047,"Salt, table",1
75204000,"Beans, lima, immature, cooked, NS as to form, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75204000,"Beans, lima, immature, cooked, NS as to form, NS as to fat added in cooking",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",170
75204001,"Beans, lima, immature, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
75204001,"Beans, lima, immature, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75204001,"Beans, lima, immature, cooked, from fresh, NS as to fat added in cooking",11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",170
75204002,"Beans, lima, immature, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
75204002,"Beans, lima, immature, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75204002,"Beans, lima, immature, cooked, from frozen, NS as to fat added in cooking",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",170
75204003,"Beans, lima, immature, cooked, from canned, NS as to fat added in cooking",2047,"Salt, table",1
75204003,"Beans, lima, immature, cooked, from canned, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
75204003,"Beans, lima, immature, cooked, from canned, NS as to fat added in cooking",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",170
75204010,"Beans, lima, immature, cooked, NS as to form, fat not added in cooking",2047,"Salt, table",1
75204010,"Beans, lima, immature, cooked, NS as to form, fat not added in cooking",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",170
75204011,"Beans, lima, immature, cooked, from fresh, fat not added in cooking",2047,"Salt, table",1
75204011,"Beans, lima, immature, cooked, from fresh, fat not added in cooking",11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",170
75204012,"Lima beans, from frozen, no added fat",2047,"Salt, table, iodized",0.3
75204012,"Lima beans, from frozen, no added fat",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",100
75204013,"Beans, lima, immature, cooked, from canned, fat not added in cooking",2047,"Salt, table",1
75204013,"Beans, lima, immature, cooked, from canned, fat not added in cooking",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",170
75204020,"Beans, lima, immature, cooked, NS as to form, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75204020,"Beans, lima, immature, cooked, NS as to form, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75204020,"Beans, lima, immature, cooked, NS as to form, fat added in cooking, NS as to type of fat",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",170
75204021,"Beans, lima, immature, cooked, from fresh, fat added in cooking, NS as to type of fat",2047,"Salt, table",1
75204021,"Beans, lima, immature, cooked, from fresh, fat added in cooking, NS as to type of fat",4323,"Table fat, averaged",4.729
75204021,"Beans, lima, immature, cooked, from fresh, fat added in cooking, NS as to type of fat",11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",170
75204022,"Lima beans, from frozen, fat added",2047,"Salt, table, iodized",0.3
75204022,"Lima beans, from frozen, fat added",4321,"Oil, table fat, averaged",3
75204022,"Lima beans, from frozen, fat added",11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",100
